id,company,title,type,location,skills,description,eligibility,link
27,WebSprint,UI/UX Developer Intern,Internship,Remote,"Figma,HTML,CSS,JavaScript,UI/UX Principles","Design and implement user-friendly web interfaces","Design, CSE students","https://example.com"
28,CloudNext,Kubernetes Intern,Internship,Bangalore,"Docker,Kubernetes,Linux,Go,Terraform","Manage containerized cloud infrastructure","CSE, IT students","https://example.com"
29,SecOps,SOC Analyst Intern,Internship,Remote,"SIEM,Linux,Networking,Incident Response,Python","Monitor security alerts and log files","CSE, Cybersecurity students","https://example.com"
30,QuantFin,Quantitative Analyst Intern,Internship,Mumbai,"Python,Pandas,Statistics,SQL,Financial Math","Analyze financial markets and quantitative trading models","Math, CSE, Finance students","https://example.com"
31,RoboTech,Robotics Software Intern,Internship,Pune,"C++,Python,ROS,Linux,Algorithms","Develop control software for autonomous robotic systems","Robotics, CSE, ECE students","https://example.com"
32,BlockWorks,Blockchain Developer Intern,Internship,Remote,"Solidity,JavaScript,Smart Contracts,Web3.js,Git","Develop decentralized applications and smart contracts","CSE, IT students","https://example.com"
33,GameStudio,Game Developer Intern,Internship,Bangalore,"C#,Unity,Data Structures,Math,Git","Develop 2D and 3D interactive video games","CSE, IT students","https://example.com"
34,EmbeddedSystems,Firmware Engineer Intern,Internship,Chennai,"C,C++,Microcontrollers,RTOS,Debugging","Write low-level firmware for embedded devices","ECE, EEE, CSE students","https://example.com"
35,HealthTech,Bioinformatics Intern,Internship,Remote,"Python,R,Bioinformatics,Statistics,Bioconda","Analyze genomic data and biological sequences","Biotech, CSE, Data Science students","https://example.com"
36,RetailMetrics,E-Commerce Analyst Intern,Internship,Remote,"SQL,Excel,Tableau,Python,Market Research","Analyze consumer buying patterns and sales data","Business, CSE, IT students","https://example.com"
37,AutoDrive,Autonomous Systems Intern,Internship,Bangalore,"C++,Python,Computer Vision,Sensor Fusion,ROS","Work on autonomous vehicle perception pipelines","CSE, ECE, Robotics students","https://example.com"
38,CloudScale,SRE Intern,Internship,Hyderabad,"Python,Linux,Prometheus,Grafana,Docker","Ensure system reliability and uptime monitoring","CSE, IT students","https://example.com"
39,AgileSoft,Scrum Master Intern,Internship,Remote,"Agile,JIRA,Scrum,Communication,Project Management","Assist product owners and sprint planning","Management, Engineering students","https://example.com"
40,DeepMetrics,Deep Learning Intern,Internship,Remote,"Python,TensorFlow,PyTorch,Neural Networks,CUDA","Build custom neural network architectures","CSE, AI/ML students","https://example.com"
41,PixelPerfect,Graphic Design Intern,Internship,Bangalore,"Photoshop,Illustrator,Figma,UI/UX,Creativity","Create marketing assets and design graphics","Design, Any Stream","https://example.com"
42,DataPulse,Database Administrator Intern,Internship,Chennai,"SQL,PostgreSQL,MySQL,Database Tuning,Linux","Manage and optimize relational databases","CSE, IT students","https://example.com"
43,CloudArmor,Cloud Security Intern,Internship,Remote,"AWS,IAM,Cloud Security,Python,Linux","Audit cloud configurations and secure infrastructure","CSE, Cybersecurity students","https://example.com"
44,EdgeTech,IoT Developer Intern,Internship,Pune,"C++,Python,MQTT,Raspberry Pi,Sensors","Develop Internet of Things hardware-software integration","ECE, CSE students","https://example.com"
45,FinEdge,Risk Analytics Intern,Internship,Mumbai,"Python,SQL,Risk Modeling,Statistics,Excel","Analyze credit risk models and data indicators","Finance, CSE, Statistics students","https://example.com"
46,SwiftApps,iOS Developer Intern,Internship,Bangalore,"Swift,Xcode,UIKit,SwiftUI,Git","Build native iOS applications for Apple ecosystem","CSE, IT students","https://example.com"
47,AndroidHub,Android Developer Intern,Internship,Chennai,"Kotlin,Android Studio,Jetpack Compose,Java","Develop native Android applications","CSE, IT students","https://example.com"
48,ScaleUp,Growth Marketing Intern,Internship,Remote,"SEO,Google Analytics,Content Writing,SQL","Analyze user acquisition metrics and growth trends","Any Stream","https://example.com"
49,VisionWorks,AR/VR Developer Intern,Internship,Pune,"C#,Unity,ARCore,VR,Shader Programming","Develop augmented and virtual reality experiences","CSE, IT students","https://example.com"
50,CoreData,Data Governance Intern,Internship,Remote,"Data Quality,SQL,Excel,Compliance,Metadata","Manage metadata catalogs and data lineage frameworks","CSE, IT, Data Science students","https://example.com"
